delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost,delivery_mode_clean
9188.0,blue dart,electronics,ev van,two day,north,clear,3.6,34.26,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000016,no,delivered,4,116.28,two day
5620.0,blue dart,documents,van,two day,north,hot,99.9,37.45,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000016,no,delivered,3,611.85,two day
18158.0,delhivery,pharmacy,scooter,two day,central,stormy,184.8,5.35,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000016,no,delivered,4,940.05,two day
21832.0,ecom express,clothing,van,two day,north,stormy,293.8,42.55,1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000016,yes,delayed,3,1596.65,two day
2796.0,ecom express,groceries,ev bike,two day,east,cold,214.2,25.7,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000016,no,delivered,4,1148.1,two day
1110.0,delhivery,documents,van,two day,south,clear,3.6,3.35,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000016,no,delivered,5,95.6674,two day
15722.0,shadowfax,electronics,ev van,two day,south,hot,7.6,17.95,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000016,no,delivered,4,95.6674,two day
12463.0,ecom express,electronics,van,two day,west,rainy,34.3,48.78,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000016,no,delivered,4,317.84,two day
4212.0,xpressbees,fragile items,van,two day,south,clear,76.5,10.11,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000016,no,delivered,5,412.83,two day
2506.0,blue dart,automobile parts,scooter,two day,central,foggy,288.9,27.68,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000016,no,delivered,5,1527.54,two day
14512.0,delhivery,pharmacy,scooter,two day,north,rainy,104.2,10.43,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000016,no,delivered,5,552.29,two day
14018.0,delhivery,clothing,bike,two day,north,cold,267.8,7.58,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000016,no,delivered,5,1361.74,two day
9476.0,delhivery,furniture,bike,two day,north,clear,262.9,1.36,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000016,no,delivered,3,1318.58,two day
19849.0,delhivery,electronics,ev bike,two day,north,hot,108.4,12.73,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000016,no,delivered,5,580.19,two day
4879.0,xpressbees,electronics,ev van,two day,west,clear,227.1,32.15,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000016,no,delivered,5,1231.95,two day
7456.0,ekart,automobile parts,scooter,two day,north,hot,28.3,44.63,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000016,no,delivered,4,275.39,two day
18739.0,delhivery,documents,ev van,express,east,hot,296.6,12.91,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,no,delivered,4,1571.73,express
1408.0,amazon logistics,documents,scooter,express,south,hot,7.0,27.38,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,no,delivered,5,167.14,express
4376.0,shadowfax,pharmacy,truck,express,south,foggy,141.3,18.7,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000004,yes,delayed,3,812.6,express
15908.0,delhivery,groceries,ev bike,express,east,stormy,58.7,0.67,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000003,yes,failed,1,344.55,express
24127.0,dhl,fragile items,ev bike,express,west,stormy,139.7,30.35,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000004,yes,delayed,2,839.55,express
12474.0,dhl,clothing,van,express,central,hot,288.6,16.6,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000007,yes,delayed,3,1542.8,express
23528.0,blue dart,furniture,truck,express,west,hot,160.6,7.0,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000005,yes,delayed,2,874.0,express
12799.0,fedex,documents,bike,express,central,hot,118.1,49.15,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000004,yes,delayed,3,787.95,express
23287.0,blue dart,groceries,bike,express,east,cold,227.7,12.32,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000006,yes,delayed,3,1225.46,express
24218.0,ekart,groceries,ev bike,express,north,stormy,235.7,16.77,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000006,yes,delayed,3,1278.81,express
22490.0,amazon logistics,furniture,van,express,west,clear,22.4,40.03,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000002,yes,delayed,3,282.09,express
6079.0,shadowfax,fragile items,ev van,express,south,rainy,37.3,2.78,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000002,yes,delayed,3,244.84,express
3068.0,xpressbees,furniture,van,express,east,clear,8.3,42.06,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000002,yes,delayed,2,217.68,express
22496.0,fedex,electronics,scooter,express,central,cold,167.8,5.02,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,no,delivered,4,904.06,express
11688.0,shadowfax,pharmacy,scooter,express,north,rainy,81.7,42.23,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000003,yes,delayed,3,585.19,express
6723.0,blue dart,documents,truck,express,south,rainy,78.9,33.65,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000003,yes,failed,1,545.45,express
15106.0,ekart,fragile items,van,express,east,hot,89.1,32.79,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000003,no,delivered,3,593.87,express
17218.0,ekart,furniture,ev van,express,west,hot,256.9,30.92,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000007,yes,delayed,2,1427.26,express
13413.0,dhl,clothing,scooter,express,central,rainy,192.8,33.75,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000005,yes,delayed,3,1115.25,express
21587.0,ecom express,groceries,ev van,express,west,clear,14.7,3.36,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000002,no,delivered,3,133.58,express
2071.0,blue dart,electronics,scooter,standard,south,rainy,284.8,47.41,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000024,no,delivered,5,1566.23,standard
19826.0,ecom express,fragile items,van,standard,east,cold,105.1,45.57,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000024,no,delivered,5,662.21,standard
19117.0,blue dart,fragile items,ev van,standard,central,clear,36.9,44.16,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000024,no,delivered,3,316.98,standard
17769.0,blue dart,furniture,ev bike,standard,east,rainy,207.6,3.19,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000024,no,delivered,5,1047.57,standard
17380.0,amazon logistics,cosmetics,ev bike,standard,north,clear,11.2,37.26,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000024,no,delivered,4,167.78,standard
2896.0,fedex,electronics,ev bike,standard,central,hot,11.8,48.75,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000024,no,delivered,4,205.25,standard
16916.0,ecom express,furniture,van,standard,south,hot,144.7,1.26,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000024,no,delivered,5,727.28,standard
9777.0,amazon logistics,electronics,ev bike,standard,north,foggy,199.3,33.15,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000024,no,delivered,4,1095.95,standard
18044.0,ecom express,automobile parts,ev van,standard,south,rainy,292.9,33.34,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000024,no,delivered,5,1564.52,standard
8637.0,delhivery,fragile items,ev bike,standard,east,stormy,271.5,21.23,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000024,no,delivered,5,1421.19,standard
2017.0,dhl,groceries,van,standard,east,cold,164.4,8.86,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000024,no,delivered,5,848.58,standard
8459.0,dhl,pharmacy,truck,standard,north,clear,216.6,26.17,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000024,no,delivered,4,1161.51,standard
5889.0,shadowfax,groceries,bike,standard,east,cold,138.4,22.02,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000024,no,delivered,5,758.06,standard
5376.0,xpressbees,fragile items,van,standard,north,foggy,162.1,0.67,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000024,no,delivered,5,811.1,standard
12477.0,delhivery,clothing,truck,standard,south,hot,33.4,15.06,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000024,no,delivered,5,212.18,standard
17199.0,delhivery,automobile parts,scooter,standard,north,hot,93.9,19.32,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000024,no,delivered,4,527.46,standard
11839.0,ekart,clothing,ev van,standard,north,rainy,212.3,16.91,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000024,no,delivered,5,1112.23,standard
15161.0,blue dart,groceries,scooter,standard,west,rainy,163.1,26.17,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000024,no,delivered,4,894.01,standard
977.0,delhivery,clothing,bike,standard,north,foggy,41.0,43.23,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000024,no,delivered,4,334.69,standard
11702.0,ecom express,groceries,ev bike,standard,east,stormy,25.3,4.66,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000024,no,delivered,4,140.48,standard
