corridor_id,center_id,zone_id,penalty_minutes
corr_anamizu_suzu,center_17461,zone_17204,0.0
corr_anamizu_suzu,center_17461,zone_17205,40.0
corr_anamizu_suzu,center_17461,zone_17461,0.0
corr_anamizu_suzu,center_17461,zone_17463,0.0
corr_anamizu_suzu,center_17463,zone_17202,0.0
corr_anamizu_suzu,center_17463,zone_17204,0.0
corr_anamizu_suzu,center_17463,zone_17205,40.0
corr_anamizu_suzu,center_17463,zone_17461,0.0
corr_anamizu_suzu,center_17463,zone_17463,0.0
corr_anamizu_wajima,center_17201,zone_17202,0.0
corr_anamizu_wajima,center_17201,zone_17204,50.0
corr_anamizu_wajima,center_17201,zone_17205,0.0
corr_anamizu_wajima,center_17201,zone_17461,0.0
corr_anamizu_wajima,center_17201,zone_17463,0.0
corr_anamizu_wajima,center_17202,zone_17202,0.0
corr_anamizu_wajima,center_17202,zone_17204,50.0
corr_anamizu_wajima,center_17202,zone_17205,0.0
corr_anamizu_wajima,center_17202,zone_17461,0.0
corr_anamizu_wajima,center_17202,zone_17463,0.0
corr_anamizu_wajima,center_17204,zone_17202,50.0
corr_anamizu_wajima,center_17204,zone_17204,0.0
corr_anamizu_wajima,center_17204,zone_17205,50.0
corr_anamizu_wajima,center_17204,zone_17461,50.0
corr_anamizu_wajima,center_17204,zone_17463,50.0
corr_anamizu_wajima,center_17205,zone_17202,0.0
corr_anamizu_wajima,center_17205,zone_17204,50.0
corr_anamizu_wajima,center_17205,zone_17205,0.0
corr_anamizu_wajima,center_17205,zone_17461,0.0
corr_anamizu_wajima,center_17205,zone_17463,0.0
corr_anamizu_wajima,center_17461,zone_17202,0.0
corr_anamizu_wajima,center_17461,zone_17204,50.0
corr_anamizu_wajima,center_17461,zone_17205,0.0
corr_anamizu_wajima,center_17461,zone_17461,0.0
corr_anamizu_wajima,center_17461,zone_17463,0.0
corr_anamizu_wajima,center_17463,zone_17202,0.0
corr_anamizu_wajima,center_17463,zone_17204,50.0
corr_anamizu_wajima,center_17463,zone_17205,0.0
corr_anamizu_wajima,center_17463,zone_17461,0.0
corr_anamizu_wajima,center_17463,zone_17463,0.0
corr_kanazawa_nanao,center_17201,zone_17202,5.0
corr_kanazawa_nanao,center_17201,zone_17204,5.0
corr_kanazawa_nanao,center_17201,zone_17205,5.0
corr_kanazawa_nanao,center_17201,zone_17461,5.0
corr_kanazawa_nanao,center_17201,zone_17463,5.0
corr_kanazawa_nanao,center_17202,zone_17202,0.0
corr_kanazawa_nanao,center_17202,zone_17204,0.0
corr_kanazawa_nanao,center_17202,zone_17205,0.0
corr_kanazawa_nanao,center_17202,zone_17461,0.0
corr_kanazawa_nanao,center_17202,zone_17463,0.0
corr_kanazawa_nanao,center_17204,zone_17202,0.0
corr_kanazawa_nanao,center_17204,zone_17204,0.0
corr_kanazawa_nanao,center_17204,zone_17205,0.0
corr_kanazawa_nanao,center_17204,zone_17461,0.0
corr_kanazawa_nanao,center_17204,zone_17463,0.0
corr_kanazawa_nanao,center_17205,zone_17202,0.0
corr_kanazawa_nanao,center_17205,zone_17204,0.0
corr_kanazawa_nanao,center_17205,zone_17205,0.0
corr_kanazawa_nanao,center_17205,zone_17461,0.0
corr_kanazawa_nanao,center_17205,zone_17463,0.0
corr_kanazawa_nanao,center_17461,zone_17202,0.0
corr_kanazawa_nanao,center_17461,zone_17204,0.0
corr_kanazawa_nanao,center_17461,zone_17205,0.0
corr_kanazawa_nanao,center_17461,zone_17461,0.0
corr_kanazawa_nanao,center_17461,zone_17463,0.0
corr_kanazawa_nanao,center_17463,zone_17202,0.0
corr_kanazawa_nanao,center_17463,zone_17204,0.0
corr_kanazawa_nanao,center_17463,zone_17205,0.0
corr_kanazawa_nanao,center_17463,zone_17461,0.0
corr_kanazawa_nanao,center_17463,zone_17463,0.0
corr_nanao_anamizu,center_17201,zone_17202,0.0
corr_nanao_anamizu,center_17201,zone_17204,70.0
corr_nanao_anamizu,center_17201,zone_17205,70.0
corr_nanao_anamizu,center_17201,zone_17461,70.0
corr_nanao_anamizu,center_17201,zone_17463,70.0
corr_nanao_anamizu,center_17202,zone_17202,0.0
corr_nanao_anamizu,center_17202,zone_17204,70.0
corr_nanao_anamizu,center_17202,zone_17205,70.0
corr_nanao_anamizu,center_17202,zone_17461,70.0
corr_nanao_anamizu,center_17202,zone_17463,70.0
corr_nanao_anamizu,center_17204,zone_17202,70.0
corr_nanao_anamizu,center_17204,zone_17204,0.0
corr_nanao_anamizu,center_17204,zone_17205,0.0
corr_nanao_anamizu,center_17204,zone_17461,0.0
corr_nanao_anamizu,center_17204,zone_17463,0.0
corr_nanao_anamizu,center_17205,zone_17202,70.0
corr_nanao_anamizu,center_17205,zone_17204,0.0
corr_nanao_anamizu,center_17205,zone_17205,0.0
corr_nanao_anamizu,center_17205,zone_17461,0.0
corr_nanao_anamizu,center_17205,zone_17463,0.0
corr_nanao_anamizu,center_17461,zone_17202,70.0
corr_nanao_anamizu,center_17461,zone_17204,0.0
corr_nanao_anamizu,center_17461,zone_17205,0.0
corr_nanao_anamizu,center_17461,zone_17461,0.0
corr_nanao_anamizu,center_17461,zone_17463,0.0
corr_nanao_anamizu,center_17463,zone_17202,70.0
corr_nanao_anamizu,center_17463,zone_17204,0.0
corr_nanao_anamizu,center_17463,zone_17205,0.0
corr_nanao_anamizu,center_17463,zone_17461,0.0
corr_nanao_anamizu,center_17463,zone_17463,0.0
